Trait_id	Trait	Category	Category_id
PPTO:0000508	glucosinolate content	biochemical trait	PPTO:0000004
PPTO:0000509	hemicellulose concentration	biochemical trait	PPTO:0000004
PPTO:0000510	hypocotyl elongation	plant growth and development trait	PPTO:0000006
PPTO:0000511	initial flowering stage	plant growth and development trait	PPTO:0000006
PPTO:0000512	lateral root density	plant morphology trait	PPTO:0000009
PPTO:0000513	linolenic acid concentration	biochemical trait	PPTO:0000004
PPTO:0000514	lodging before flowering	plant vigor trait	PPTO:0000011
PPTO:0000515	lodging coefficient	plant morphology trait	PPTO:0000009
PPTO:0000517	nertral detergent fiber concentration	biochemical trait	PPTO:0000004
PPTO:0000518	resistance to leptosphaeria maculans	biotic stress trait	PPTO:0000007
PPTO:0000519	root cadmium accumulation	biochemical trait	PPTO:0000004
PPTO:0000520	shoot cadmium accumulation	biochemical trait	PPTO:0000004
PPTO:0000522	stem breaking resistance	plant morphology trait	PPTO:0000009
PPTO:0000523	stem dry weight	plant morphology trait	PPTO:0000009
PPTO:0000524	taproot length	plant morphology trait	PPTO:0000009
PPTO:0000525	the amount of acid detergent lignin	plant quality trait	PPTO:0000005
PPTO:0000526	the hull content	plant quality trait	PPTO:0000005
PPTO:0000527	the syringyl to guaiacyl monolignol ratio	biochemical trait	PPTO:0000004
PPTO:0000528	winter hardiness	abiotic stress trait	PPTO:0000013
PPTO:0000529	fat and essential oil content	biochemical trait	PPTO:0000004
PPTO:0000530	harvest index	yield trait	PPTO:0000010
PPTO:0000531	lateral root number	plant morphology trait	PPTO:0000009
PPTO:0000532	moisture content trait	plant quality trait	PPTO:0000005
PPTO:0000533	primary branch number	plant morphology trait	PPTO:0000009
PPTO:0000534	shoot system sodium content	biochemical trait	PPTO:0000004
PPTO:0000535	stem elongation	plant growth and development trait	PPTO:0000006
PPTO:0000536	stem strength	plant morphology trait	PPTO:0000009
PPTO:0000537	sulfur content	biochemical trait	PPTO:0000004
PPTO:0000538	unfilled grain number	plant morphology trait	PPTO:0000009
PPTO:0000539	lodging incidence	plant vigor trait	PPTO:0000011
PPTO:0000540	blast disease resistance	biotic stress trait	PPTO:0000007
PPTO:0000541	panicle inflorescence type	plant morphology trait	PPTO:0000009
PPTO:0000542	flag leaf angle	plant morphology trait	PPTO:0000009
PPTO:0000543	relative biomass	yield trait	PPTO:0000010
PPTO:0000544	milled rice yield	yield trait	PPTO:0000010
PPTO:0000545	rice bacterial blight disease resistance	biotic stress trait	PPTO:0000007
PPTO:0000546	spikelet fertility	plant morphology trait	PPTO:0000009
PPTO:0000547	leaf senescence trait	plant growth and development trait	PPTO:0000006
PPTO:0000548	flavonoid content	biochemical trait	PPTO:0000004
PPTO:0000549	carbohydrate content	biochemical trait	PPTO:0000004
PPTO:0000550	cold tolerance	abiotic stress trait	PPTO:0000013
PPTO:0000551	breakdown viscosity	plant quality trait	PPTO:0000005
PPTO:0000552	consistency viscosity	plant quality trait	PPTO:0000005
PPTO:0000553	cool paste viscosity	plant quality trait	PPTO:0000005
PPTO:0000554	grain thickness	plant quality trait	PPTO:0000005
PPTO:0000555	hot paste viscosity	plant quality trait	PPTO:0000005
PPTO:0000556	peak viscosity	plant quality trait	PPTO:0000005
PPTO:0000557	setback viscosity	plant quality trait	PPTO:0000005
PPTO:0000558	bakanae disease resistance	biotic stress trait	PPTO:0000007
PPTO:0000559	callus induction	plant vigor trait	PPTO:0000011
PPTO:0000560	filled grain number	plant morphology trait	PPTO:0000009
PPTO:0000561	seed set percent	plant morphology trait	PPTO:0000009
PPTO:0000562	seed color	plant morphology trait	PPTO:0000009
PPTO:0000563	relative growth rate	plant vigor trait	PPTO:0000011
PPTO:0000564	secondary branch number	biological process trait	PPTO:0000008
PPTO:0000565	specific leaf area	plant morphology trait	PPTO:0000009
PPTO:0000566	tiller angle	plant morphology trait	PPTO:0000009
PPTO:0000567	stem length	plant morphology trait	PPTO:0000009
PPTO:0000568	seed fertility	plant morphology trait	PPTO:0000009
PPTO:0000569	ferulic acid content	biochemical trait	PPTO:0000004
PPTO:0000570	coleoptile length	plant morphology trait	PPTO:0000009
PPTO:0000571	net photosynthetic rate	biological process trait	PPTO:0000008
PPTO:0000572	relative panicle number	biological process trait	PPTO:0000008
PPTO:0000573	inflorescence axis length	plant morphology trait	PPTO:0000009
PPTO:0000574	leaf pubescence	plant morphology trait	PPTO:0000009
PPTO:0000575	flower number	plant morphology trait	PPTO:0000009
PPTO:0000576	floret number per inflorescence	plant morphology trait	PPTO:0000009
PPTO:0000577	salt tolerance	abiotic stress trait	PPTO:0000013
PPTO:0000578	fructose content	biochemical trait	PPTO:0000004
PPTO:0000579	molybdenum content	biochemical trait	PPTO:0000004
PPTO:0000580	phenolic compound content	biochemical trait	PPTO:0000004
PPTO:0000581	copper content trait	biochemical trait	PPTO:0000004
PPTO:0000582	75th percentile of coleoptile length at day 8 of dark submergence	plant morphology trait	PPTO:0000009
PPTO:0000583	above ground biomass	plant morphology trait	PPTO:0000009
PPTO:0000584	alpha-tocopherol content	biochemical trait	PPTO:0000004
PPTO:0000585	amylopectin percent	biochemical trait	PPTO:0000004
PPTO:0000586	amylose percent	biochemical trait	PPTO:0000004
PPTO:0000587	anaerobic response index	biotic stress trait	PPTO:0000007
PPTO:0000588	breeding stage	biological process trait	PPTO:0000008
PPTO:0000589	brown rice length/width ratio	plant morphology trait	PPTO:0000009
PPTO:0000590	brown rice seed length	plant morphology trait	PPTO:0000009
PPTO:0000591	brown rice seed width	plant morphology trait	PPTO:0000009
PPTO:0000592	brown rice surface area	plant morphology trait	PPTO:0000009
PPTO:0000593	brown rice volume	plant morphology trait	PPTO:0000009
PPTO:0000594	chalk size	plant quality trait	PPTO:0000005
PPTO:0000595	coleoptile length at day 4 of air	plant morphology trait	PPTO:0000009
PPTO:0000596	coleoptile length at day 8 of dark submergence	plant morphology trait	PPTO:0000009
PPTO:0000597	concentration of na+ in the shoots	abiotic stress trait	PPTO:0000013
PPTO:0000598	culm habit	plant morphology trait	PPTO:0000009
PPTO:0000599	development rate	plant vigor trait	PPTO:0000011
PPTO:0000600	drought recovery	abiotic stress trait	PPTO:0000013
PPTO:0000601	electrolyte leakage	biological process trait	PPTO:0000008
PPTO:0000602	first callus appearance	plant vigor trait	PPTO:0000011
PPTO:0000603	flag leaf length/width	plant morphology trait	PPTO:0000009
PPTO:0000604	flooded coleoptile length	abiotic stress trait	PPTO:0000013
PPTO:0000605	flooding tolerance index	abiotic stress trait	PPTO:0000013
PPTO:0000606	flowering duration	plant growth and development trait	PPTO:0000006
PPTO:0000607	flowering time ratio	plant growth and development trait	PPTO:0000006
PPTO:0000608	free phenolic acid activity	biochemical trait	PPTO:0000004
PPTO:0000609	germination energy	plant vigor trait	PPTO:0000011
PPTO:0000610	germination index	plant vigor trait	PPTO:0000011
PPTO:0000611	grain as concentrations	biochemical trait	PPTO:0000004
PPTO:0000612	grain cd concentrations	biochemical trait	PPTO:0000004
PPTO:0000613	grain pb concentrations	biochemical trait	PPTO:0000004
PPTO:0000614	grain projected area	plant morphology trait	PPTO:0000009
PPTO:0000615	grain transparency	plant morphology trait	PPTO:0000009
PPTO:0000616	green leaf number	plant morphology trait	PPTO:0000009
PPTO:0000617	green leaves area	plant morphology trait	PPTO:0000009
PPTO:0000618	ic threshold	biological process trait	PPTO:0000008
PPTO:0000619	leaf bronzing score	abiotic stress trait	PPTO:0000013
PPTO:0000620	length of primary branch	plant morphology trait	PPTO:0000009
PPTO:0000621	length of secondary branch	plant morphology trait	PPTO:0000009
PPTO:0000622	light conversion effciency	plant vigor trait	PPTO:0000011
PPTO:0000623	m. graminicola resistance	biotic stress trait	PPTO:0000007
PPTO:0000624	meristem growth rate	plant vigor trait	PPTO:0000011
PPTO:0000625	n', n''-diferuloyl spermidine	biochemical trait	PPTO:0000004
PPTO:0000626	n', n''-di-p-coumaroyl spermidine	biochemical trait	PPTO:0000004
PPTO:0000627	n', n''-disinapoyl spermidine	biochemical trait	PPTO:0000004
PPTO:0000628	n', n''-p-coumaroyl, feruloyl spermidine	biochemical trait	PPTO:0000004
PPTO:0000629	n-caffeoyl spermidine	biochemical trait	PPTO:0000004
PPTO:0000630	non-grain dry weight	yield trait	PPTO:0000010
PPTO:0000631	n-p-coumaroyl spermidine	biochemical trait	PPTO:0000004
PPTO:0000632	number of spikelets per secondary branch	plant morphology trait	PPTO:0000009
PPTO:0000633	number of tillers bearing a panicle	plant morphology trait	PPTO:0000009
PPTO:0000634	p_coumaric acid content	biochemical trait	PPTO:0000004
PPTO:0000635	panicle fertility	plant morphology trait	PPTO:0000009
PPTO:0000636	panicle width	plant morphology trait	PPTO:0000009
PPTO:0000637	pasting temperature	plant quality trait	PPTO:0000005
PPTO:0000638	percentage of damage of the seedlings	abiotic stress trait	PPTO:0000013
PPTO:0000639	percentage of head rice recovery	plant quality trait	PPTO:0000005
PPTO:0000640	plant compactness	plant morphology trait	PPTO:0000009
PPTO:0000641	plastochron or phyllochron	plant growth and development trait	PPTO:0000006
PPTO:0000642	primary internode length	plant morphology trait	PPTO:0000009
PPTO:0000643	ratio between coleoptile length at days 8 and 4	plant morphology trait	PPTO:0000009
PPTO:0000644	ratio of deep rooting	plant morphology trait	PPTO:0000009
PPTO:0000645	ratio of electrolyte leakage	biological process trait	PPTO:0000008
PPTO:0000646	relative crop growth rate	biochemical trait	PPTO:0000004
PPTO:0000647	relative deduction of shoot k+ content	biochemical trait	PPTO:0000004
PPTO:0000648	relative deduction of shoot na+ content	biochemical trait	PPTO:0000004
PPTO:0000649	relative dry weight	abiotic stress trait	PPTO:0000013
PPTO:0000650	relative leaf width	plant morphology trait	PPTO:0000009
PPTO:0000651	relative lignin content	abiotic stress trait	PPTO:0000013
PPTO:0000652	relative panicle weight	biological process trait	PPTO:0000008
PPTO:0000653	relative root/shoot ratio	plant morphology trait	PPTO:0000009
PPTO:0000654	relative single panicle weight	abiotic stress trait	PPTO:0000013
PPTO:0000655	relative thousand kernel weight	abiotic stress trait	PPTO:0000013
PPTO:0000656	relative tiller number	abiotic stress trait	PPTO:0000013
PPTO:0000657	relative total panicle weight	abiotic stress trait	PPTO:0000013
PPTO:0000658	ripening ratio	plant growth and development trait	PPTO:0000006
PPTO:0000659	root tip number	plant morphology trait	PPTO:0000009
PPTO:0000660	score of alkalinity tolerance	biotic stress trait	PPTO:0000007
PPTO:0000661	secondary branch length	plant morphology trait	PPTO:0000009
PPTO:0000662	secondary internode length	plant morphology trait	PPTO:0000009
PPTO:0000663	seed density	plant growth and development trait	PPTO:0000006
PPTO:0000664	seed surface area	plant morphology trait	PPTO:0000009
PPTO:0000665	seed volume	plant morphology trait	PPTO:0000009
PPTO:0000666	sinapic acid content	biochemical trait	PPTO:0000004
PPTO:0000667	spikelet per panicle	plant morphology trait	PPTO:0000009
PPTO:0000668	stem starch content	biochemical trait	PPTO:0000004
PPTO:0000669	stem sucrose content	biochemical trait	PPTO:0000004
PPTO:0000670	survival rate	biotic stress trait	PPTO:0000007
PPTO:0000671	albumin content	biochemical trait	PPTO:0000004
PPTO:0000672	the contents of globulin	biochemical trait	PPTO:0000004
PPTO:0000673	the contents of glutelin	biochemical trait	PPTO:0000004
PPTO:0000674	the contents of prolamin	biochemical trait	PPTO:0000004
PPTO:0000675	vigor index	plant vigor trait	PPTO:0000011
PPTO:0000676	peak time	plant quality trait	PPTO:0000005
PPTO:0000677	spikelet sterility	sterility or fertility trait	PPTO:0000012
PPTO:0000678	amylose 1 (true amylose chains) percent	biochemical trait	PPTO:0000004
PPTO:0000679	amylose 2 (long chain amylopectin) percent	biochemical trait	PPTO:0000004
PPTO:0000680	medium-chain amylopectin percent	biochemical trait	PPTO:0000004
PPTO:0000681	short-chain amylopectin percent	biochemical trait	PPTO:0000004
PPTO:0000682	leaf number above ear	plant morphology trait	PPTO:0000009
PPTO:0000683	leaf number below ear	plant morphology trait	PPTO:0000009
PPTO:0000684	emergence vigor	plant vigor trait	PPTO:0000011
PPTO:0000685	tassel floppiness	plant morphology trait	PPTO:0000009
PPTO:0000686	haploid fertility	sterility or fertility trait	PPTO:0000012
PPTO:0000687	goss's wilt resistance	biotic stress trait	PPTO:0000007
PPTO:0000688	chlorotic mottle virus resistance	biotic stress trait	PPTO:0000007
PPTO:0000689	grain color trait	plant morphology trait	PPTO:0000009
PPTO:0000690	floury to vitreous ratio	plant quality trait	PPTO:0000005
PPTO:0000691	popping expansion volume	plant quality trait	PPTO:0000005
PPTO:0000692	flotation index	plant quality trait	PPTO:0000005
PPTO:0000693	pericarp retention	plant quality trait	PPTO:0000005
PPTO:0000694	beta-carotene to beta-cryptoxanthin and zeaxanthin ratio	biochemical trait	PPTO:0000004
PPTO:0000695	beta-xanthophyll to alpha-xanthophyll ratio	biochemical trait	PPTO:0000004
PPTO:0000696	xanthophyll content	biochemical trait	PPTO:0000004
PPTO:0000697	violaxanthin content	biochemical trait	PPTO:0000004
PPTO:0000700	root weight to shoot weight ratio	plant morphology trait	PPTO:0000009
PPTO:0000701	exocarp thickness	plant morphology trait	PPTO:0000009
PPTO:0000703	large vascular bundle number to leaf area ratio	plant morphology trait	PPTO:0000009
PPTO:0000704	kernel density	plant quality trait	PPTO:0000005
PPTO:0000705	fruit length	plant morphology trait	PPTO:0000009
PPTO:0000706	tip barren length	plant morphology trait	PPTO:0000009
PPTO:0000707	the compute setting rate	plant morphology trait	PPTO:0000009
PPTO:0000708	kernel moisture content	plant quality trait	PPTO:0000005
PPTO:0000709	husk tightness	plant morphology trait	PPTO:0000009
PPTO:0000710	relative vitality index	plant vigor trait	PPTO:0000011
PPTO:0000711	relative radicle volume	plant vigor trait	PPTO:0000011
PPTO:0000712	relative radicle surface area	plant vigor trait	PPTO:0000011
PPTO:0000713	relative germ length	plant vigor trait	PPTO:0000011
PPTO:0000714	relative simple vitality index	plant vigor trait	PPTO:0000011
PPTO:0000715	relative radicle length	plant vigor trait	PPTO:0000011
PPTO:0000716	ear infructescence number	yield trait	PPTO:0000010
PPTO:0000717	striga damage rate	biotic stress trait	PPTO:0000007
PPTO:0000718	striga count	biotic stress trait	PPTO:0000007
PPTO:0000719	ear aspect	plant morphology trait	PPTO:0000009
PPTO:0000720	resistance to stalk tunneling by mediterranean corn borer	biotic stress trait	PPTO:0000007
PPTO:0000721	kernel resistance to mediterranean corn borer attack	biotic stress trait	PPTO:0000007
PPTO:0000722	seminal root length	plant morphology trait	PPTO:0000009
PPTO:0000723	length of the starch granule.	plant quality trait	PPTO:0000005
PPTO:0000725	flour fiber content	plant quality trait	PPTO:0000005
PPTO:0000726	flour fat content	plant quality trait	PPTO:0000005
PPTO:0000728	flour protein content	plant quality trait	PPTO:0000005
PPTO:0000729	setback from trough viscosity	plant quality trait	PPTO:0000005
PPTO:0000731	flour particle size	plant quality trait	PPTO:0000005
PPTO:0000732	starch concentration	plant quality trait	PPTO:0000005
PPTO:0000733	throuth viscosity	plant quality trait	PPTO:0000005
PPTO:0000736	speed of accumulated germination	plant vigor trait	PPTO:0000011
PPTO:0000737	coefficient of germination rate.	plant growth and development trait	PPTO:0000006
PPTO:0000738	days to the second leaf	plant growth and development trait	PPTO:0000006
PPTO:0000739	node number below ear	plant morphology trait	PPTO:0000009
PPTO:0000740	stover organic matter digestibility	plant quality trait	PPTO:0000005
PPTO:0000741	metabolizable energy	plant quality trait	PPTO:0000005
PPTO:0000742	area under number of striga counts progress curve	biotic stress trait	PPTO:0000007
PPTO:0000743	herbicide sensitivity	abiotic stress trait	PPTO:0000013
PPTO:0000744	tannins content	biochemical trait	PPTO:0000004
PPTO:0000745	total phenols	biochemical trait	PPTO:0000004
PPTO:0000746	total antioxidant capacity	biochemical trait	PPTO:0000004
PPTO:0000747	panicle inflorescence shape	plant morphology trait	PPTO:0000009
PPTO:0000748	condensed tannins content	biochemical trait	PPTO:0000004
PPTO:0000749	sorghum grain mold	biotic stress trait	PPTO:0000007
PPTO:0000750	testa presence	plant morphology trait	PPTO:0000009
PPTO:0000751	mesocarp thickness	plant morphology trait	PPTO:0000009
PPTO:0000752	panicle erectness	plant morphology trait	PPTO:0000009
PPTO:0000753	upper plot-based plant width	plant morphology trait	PPTO:0000009
PPTO:0000754	middle plot-based plant width	plant morphology trait	PPTO:0000009
PPTO:0000755	lower plot-based plant width	plant morphology trait	PPTO:0000009
PPTO:0000756	panicle inflorescence compactness	plant morphology trait	PPTO:0000009
PPTO:0000757	glume cover	plant morphology trait	PPTO:0000009
PPTO:0000758	male sterility	sterility or fertility trait	PPTO:0000012
PPTO:0000759	root system width	plant morphology trait	PPTO:0000009
PPTO:0000760	root median width	plant morphology trait	PPTO:0000009
PPTO:0000761	root adjusted depth	plant morphology trait	PPTO:0000009
PPTO:0000762	root width profile angle	plant morphology trait	PPTO:0000009
PPTO:0000763	convex hull area	plant morphology trait	PPTO:0000009
PPTO:0000764	valine percentage	biochemical trait	PPTO:0000004
PPTO:0000765	ratio of valine to pyruvate family	biochemical trait	PPTO:0000004
PPTO:0000766	ratio of valine to bcaa family	biochemical trait	PPTO:0000004
PPTO:0000767	valine content	biochemical trait	PPTO:0000004
PPTO:0000768	tyrosinase percentage	biochemical trait	PPTO:0000004
PPTO:0000769	ratio of tyrosinase to shikimate family	biochemical trait	PPTO:0000004
PPTO:0000770	tyrosinase content	biochemical trait	PPTO:0000004
PPTO:0000771	amino acid content	biochemical trait	PPTO:0000004
PPTO:0000772	threonine percentage	biochemical trait	PPTO:0000004
PPTO:0000773	ratio of threonine to aspartate family	biochemical trait	PPTO:0000004
PPTO:0000774	threonine content	biochemical trait	PPTO:0000004
PPTO:0000775	shikimate family content	biochemical trait	PPTO:0000004
PPTO:0000776	serine percentage	biochemical trait	PPTO:0000004
PPTO:0000777	serine family content	biochemical trait	PPTO:0000004
PPTO:0000778	serine content	biochemical trait	PPTO:0000004
PPTO:0000779	pyruvate family content	biochemical trait	PPTO:0000004
PPTO:0000780	proline percentage	biochemical trait	PPTO:0000004
PPTO:0000781	ratio of proline to glutamate family	biochemical trait	PPTO:0000004
PPTO:0000782	ratio of phenylalanine to shikimate family	biochemical trait	PPTO:0000004
PPTO:0000783	phenylalanine content	biochemical trait	PPTO:0000004
PPTO:0000784	methionine percentage	biochemical trait	PPTO:0000004
PPTO:0000785	ratio of methionine to aspartate family	biochemical trait	PPTO:0000004
PPTO:0000786	methionine content	biochemical trait	PPTO:0000004
PPTO:0000787	lysine percentage	biochemical trait	PPTO:0000004
PPTO:0000788	leucine percentage	biochemical trait	PPTO:0000004
PPTO:0000789	isoleucine percentage	biochemical trait	PPTO:0000004
PPTO:0000790	histidinet percentage	biochemical trait	PPTO:0000004
PPTO:0000791	glycine percentage	biochemical trait	PPTO:0000004
PPTO:0000792	glutamate percentage	biochemical trait	PPTO:0000004
PPTO:0000793	cysteine percentage	biochemical trait	PPTO:0000004
PPTO:0000794	aspartate percentage	biochemical trait	PPTO:0000004
PPTO:0000795	arginine percentage	biochemical trait	PPTO:0000004
PPTO:0000796	alanine percentage	biochemical trait	PPTO:0000004
PPTO:0000797	lysine content	biochemical trait	PPTO:0000004
PPTO:0000798	leucine content	biochemical trait	PPTO:0000004
PPTO:0000799	isoleucine content	biochemical trait	PPTO:0000004
PPTO:0000800	histidine content	biochemical trait	PPTO:0000004
PPTO:0000801	glycine content	biochemical trait	PPTO:0000004
PPTO:0000802	cysteine content	biochemical trait	PPTO:0000004
PPTO:0000803	aspartate content	biochemical trait	PPTO:0000004
PPTO:0000804	arginine content	biochemical trait	PPTO:0000004
PPTO:0000805	alanine content	biochemical trait	PPTO:0000004
PPTO:0000806	glutamate family content	biochemical trait	PPTO:0000004
PPTO:0000807	bcaa family content	biochemical trait	PPTO:0000004
PPTO:0000808	aspartate family content	biochemical trait	PPTO:0000004
PPTO:0000809	ratio of lysine to aspartate family	biochemical trait	PPTO:0000004
PPTO:0000810	ratio of leucine to pyruvate family	biochemical trait	PPTO:0000004
PPTO:0000811	ratio of leucine to bcaa family	biochemical trait	PPTO:0000004
PPTO:0000812	ratio of isoleucine to bcaa family	biochemical trait	PPTO:0000004
PPTO:0000813	ratio of isoleucine to aspartate family	biochemical trait	PPTO:0000004
PPTO:0000814	ratio of glycine to serine family	biochemical trait	PPTO:0000004
PPTO:0000815	ratio of glutamate to glutamate family	biochemical trait	PPTO:0000004
PPTO:0000816	ratio of arginine to glutamate family	biochemical trait	PPTO:0000004
PPTO:0000817	ratio of alanine to pyruvate family	biochemical trait	PPTO:0000004
PPTO:0000818	hybrid incompatibility	sterility or fertility trait	PPTO:0000012
PPTO:0000819	filled grain percentage	plant morphology trait	PPTO:0000009
PPTO:0000820	germinability at low temperature	plant quality trait	PPTO:0000005
PPTO:0000821	root system sodium content	biochemical trait	PPTO:0000004
PPTO:0000822	brown planthopper resistance	biotic stress trait	PPTO:0000007
PPTO:0000823	chalky endosperm	plant morphology trait	PPTO:0000009
PPTO:0000824	grain size	plant morphology trait	PPTO:0000009
PPTO:0000825	rice tungro virus resistance	biotic stress trait	PPTO:0000007
PPTO:0000826	root thickness	plant morphology trait	PPTO:0000009
PPTO:0000827	regeneration ablility	plant vigor trait	PPTO:0000011
PPTO:0000828	nitrogen use efficiency	abiotic stress trait	PPTO:0000013
PPTO:0000829	interspecific hybrid incompatibility	sterility or fertility trait	PPTO:0000012
PPTO:0000830	bispyribac sodium tolerance	biotic stress trait	PPTO:0000007
PPTO:0000831	ultraviolet-b tolerance	abiotic stress trait	PPTO:0000013
PPTO:0000832	interspecific hybrid weakness	sterility or fertility trait	PPTO:0000012
PPTO:0000833	stripe virus resistance	biotic stress trait	PPTO:0000007
PPTO:0000834	benzoyl tryptamine content	biological process trait	PPTO:0000008
PPTO:0000835	cinnamoyl tryptamine content	biological process trait	PPTO:0000008
PPTO:0000836	tolerance to nutrition	abiotic stress trait	PPTO:0000013
PPTO:0000837	tolerance to nitrogen deficiency	abiotic stress trait	PPTO:0000013
PPTO:0000838	aluminum tolerance	abiotic stress trait	PPTO:0000013
PPTO:0000839	trigonelline content	biological process trait	PPTO:0000008
PPTO:0000840	lodging resistance	plant vigor trait	PPTO:0000011
PPTO:0000841	boron-toxicity tolerance	abiotic stress trait	PPTO:0000013
PPTO:0000842	hybrid compatibility	sterility or fertility trait	PPTO:0000012
PPTO:0000843	mesocotyl elongation	plant growth and development trait	PPTO:0000006
PPTO:0000844	cytoplasmic male sterility	sterility or fertility trait	PPTO:0000012
PPTO:0000845	photoperiod-sensitive male sterility	sterility or fertility trait	PPTO:0000012
PPTO:0000846	thermo-sensitive genic male sterility	sterility or fertility trait	PPTO:0000012
PPTO:0000847	generation of stale flavor	plant quality trait	PPTO:0000005
PPTO:0000848	tricin-lignan-glycosides content	biochemical trait	PPTO:0000004
PPTO:0000849	callus browning	plant morphology trait	PPTO:0000009
PPTO:0000850	grain discoloration	plant morphology trait	PPTO:0000009
PPTO:0000851	o-methylapigenin c-pentoside content	biochemical trait	PPTO:0000004
PPTO:0000852	l-asparagine content	biochemical trait	PPTO:0000004
PPTO:0000853	potassium use efficiency	biological process trait	PPTO:0000008
PPTO:0000854	anthocyanin pigmentation	biochemical trait	PPTO:0000004
PPTO:0000855	apigenin 5-o-glucoside content	biochemical trait	PPTO:0000004
PPTO:0000856	feruloylserotonin content	biochemical trait	PPTO:0000004
PPTO:0000857	fragrance	plant quality trait	PPTO:0000005
PPTO:0000858	anaerobic germination tolerance	abiotic stress trait	PPTO:0000013
PPTO:0000859	n-feruloylputrescine content	biochemical trait	PPTO:0000004
PPTO:0000860	rice yellow mottle virus resistance	biotic stress trait	PPTO:0000007
PPTO:0000861	rice endosperm type trait	plant morphology trait	PPTO:0000009
PPTO:0000862	nitrogen sensitivity	abiotic stress trait	PPTO:0000013
PPTO:0000863	panicle weight	plant morphology trait	PPTO:0000009
PPTO:0000864	black streak dwarf virus resistance	biotic stress trait	PPTO:0000007
PPTO:0000865	root number	plant morphology trait	PPTO:0000009
PPTO:0000866	awn color	plant morphology trait	PPTO:0000009
PPTO:0000867	canopy temperature	abiotic stress trait	PPTO:0000013
PPTO:0000868	rice bacterial leaf streak disease resistance	biotic stress trait	PPTO:0000007
PPTO:0000869	head rice yield	yield trait	PPTO:0000010
PPTO:0000870	sheath blight disease resistance	biotic stress trait	PPTO:0000007
PPTO:0000871	vegetative vigor	plant vigor trait	PPTO:0000011
PPTO:0000872	forage yield	yield trait	PPTO:0000010
PPTO:0000873	panicle threshability	plant quality trait	PPTO:0000005
PPTO:0000874	vascular bundle number	plant morphology trait	PPTO:0000009
PPTO:0000875	phosphorus uptake	biochemical trait	PPTO:0000004
PPTO:0000876	stem thickness	plant morphology trait	PPTO:0000009
PPTO:0000877	flag leaf area	plant morphology trait	PPTO:0000009
PPTO:0000878	leaf dry weight	plant morphology trait	PPTO:0000009
PPTO:0000879	root hair density	plant morphology trait	PPTO:0000009
PPTO:0000880	root hair length	plant morphology trait	PPTO:0000009
PPTO:0000881	grain nitrogen content	biochemical trait	PPTO:0000004
PPTO:0000882	grain carbon content	biochemical trait	PPTO:0000004
PPTO:0000883	arsenic content trait	biochemical trait	PPTO:0000004
PPTO:0000884	palmitic acid content	biochemical trait	PPTO:0000004
PPTO:0000885	awn type	plant morphology trait	PPTO:0000009
PPTO:0000886	hull cover	plant morphology trait	PPTO:0000009
PPTO:0000887	kernel rate	plant morphology trait	PPTO:0000009
PPTO:0000888	lodging	plant vigor trait	PPTO:0000011
PPTO:0000889	grain cobalt concentration	biochemical trait	PPTO:0000004
PPTO:0000890	grain cuprum concentration	biochemical trait	PPTO:0000004
PPTO:0000891	grain kalium concentrations	biochemical trait	PPTO:0000004
PPTO:0000892	grain molybdenum concentration	biochemical trait	PPTO:0000004
PPTO:0000893	grain rubidium concentration	biochemical trait	PPTO:0000004
PPTO:0000894	grain strontium concentration	biochemical trait	PPTO:0000004
PPTO:0000895	grain nickel concentration	biochemical trait	PPTO:0000004
PPTO:0000896	grain potassium concentration	biochemical trait	PPTO:0000004
PPTO:0000897	early sowing	plant vigor trait	PPTO:0000011
PPTO:0000898	late sowing	plant vigor trait	PPTO:0000011
PPTO:0000899	resistant starch	plant quality trait	PPTO:0000005
PPTO:0000900	rapidly digestible starch	plant quality trait	PPTO:0000005
PPTO:0000901	slowly digestible starch	plant quality trait	PPTO:0000005
PPTO:0000902	taste score of cooked grain	plant quality trait	PPTO:0000005
PPTO:0000903	root growth ability	plant vigor trait	PPTO:0000011
PPTO:0000904	dry biomass at maturity	plant morphology trait	PPTO:0000009
PPTO:0000905	stomatal density on the adaxial surface	biological process trait	PPTO:0000008
PPTO:0000906	guard cell length on the adaxial surface	biological process trait	PPTO:0000008
PPTO:0000907	guard cell width on the adaxial surface	biological process trait	PPTO:0000008
PPTO:0000908	stomatal size on the adaxial surface	biological process trait	PPTO:0000008
PPTO:0000909	stomatal density on the abaxial surface	biological process trait	PPTO:0000008
PPTO:0000910	guard cell length on the abaxial surface	biological process trait	PPTO:0000008
PPTO:0000911	guard cell width on the abaxial surface	biological process trait	PPTO:0000008
PPTO:0000912	stomatal size on the abaxial surface	biological process trait	PPTO:0000008
PPTO:0000913	blighted grains per plant	plant quality trait	PPTO:0000005
PPTO:0000914	blighted grains per panicle	plant quality trait	PPTO:0000005
PPTO:0000915	blighted grain weight per plant	plant quality trait	PPTO:0000005
PPTO:0000916	filled grain weight per plant	plant morphology trait	PPTO:0000009
PPTO:0000917	productive panicle number	yield trait	PPTO:0000010
PPTO:0000918	water content of grain	biochemical trait	PPTO:0000004
PPTO:0000919	whiteness degree of complete grain	plant quality trait	PPTO:0000005
PPTO:0000920	whiteness degree of dead grain	plant quality trait	PPTO:0000005
PPTO:0000921	plumule length after recovery	plant vigor trait	PPTO:0000011
PPTO:0000922	plumule length recovery rate	plant vigor trait	PPTO:0000011
