Trait_id	Trait	Category	Category_id
PPTO:0000188	fiber strength	plant quality trait	PPTO:0000005
PPTO:0000189	fiber weight per boll	plant quality trait	PPTO:0000005
PPTO:0000190	flower and boll period	plant growth and development trait	PPTO:0000006
PPTO:0000191	branch angle	plant morphology trait	PPTO:0000009
PPTO:0000192	fruit branch length	plant morphology trait	PPTO:0000009
PPTO:0000193	growth period	plant growth and development trait	PPTO:0000006
PPTO:0000194	branch position	plant morphology trait	PPTO:0000009
PPTO:0000195	lint index	plant quality trait	PPTO:0000005
PPTO:0000196	lint percentage	plant quality trait	PPTO:0000005
PPTO:0000197	micronaire value	plant quality trait	PPTO:0000005
PPTO:0000198	boll weight	plant quality trait	PPTO:0000005
PPTO:0000199	relative chlorophyll content	biochemical trait	PPTO:0000004
PPTO:0000200	relative germination rate	plant vigor trait	PPTO:0000011
PPTO:0000201	relative malondialdehvde content	biochemical trait	PPTO:0000004
PPTO:0000202	seed harvest index	yield trait	PPTO:0000010
PPTO:0000203	seedling period	plant growth and development trait	PPTO:0000006
PPTO:0000204	spinning consistency index	plant quality trait	PPTO:0000005
PPTO:0000205	12-hydroxy jasmonoyl-isoleucine content	biochemical trait	PPTO:0000004
PPTO:0000206	12-oxo-phyto-dienoic acid content	biochemical trait	PPTO:0000004
PPTO:0000207	amylose content	biochemical trait	PPTO:0000004
PPTO:0000208	angle to the vertical of the root cone	plant morphology trait	PPTO:0000009
PPTO:0000209	lemma apiculus color	plant morphology trait	PPTO:0000009
PPTO:0000210	awn length	plant morphology trait	PPTO:0000009
PPTO:0000211	brown rice rate	plant quality trait	PPTO:0000005
PPTO:0000212	degree of chalkness	plant quality trait	PPTO:0000005
PPTO:0000213	chalky grain rate	plant quality trait	PPTO:0000005
PPTO:0000214	chlorophyll content	biochemical trait	PPTO:0000004
PPTO:0000215	days from flowering to maturity	plant growth and development trait	PPTO:0000006
PPTO:0000216	deep root biomass	plant morphology trait	PPTO:0000009
PPTO:0000217	deep root proportion	plant morphology trait	PPTO:0000009
PPTO:0000218	deepest point reached by the roots in position in the plates	plant morphology trait	PPTO:0000009
PPTO:0000219	degree of seed shattering	plant morphology trait	PPTO:0000009
PPTO:0000220	dihydrojasmonic acid content	biochemical trait	PPTO:0000004
PPTO:0000221	dual stigma exsertion	plant morphology trait	PPTO:0000009
PPTO:0000222	flag leaf length	plant morphology trait	PPTO:0000009
PPTO:0000223	flag leaf lamina width	plant morphology trait	PPTO:0000009
PPTO:0000224	flavonoid leaf content	biochemical trait	PPTO:0000004
PPTO:0000225	gel consistency	biochemical trait	PPTO:0000004
PPTO:0000226	gelatinization temperature	biochemical trait	PPTO:0000004
PPTO:0000227	germination rate	plant vigor trait	PPTO:0000011
PPTO:0000228	grain length	plant morphology trait	PPTO:0000009
PPTO:0000229	grain length to width ratio	plant morphology trait	PPTO:0000009
PPTO:0000230	average grain weight	plant morphology trait	PPTO:0000009
PPTO:0000231	grain width	plant morphology trait	PPTO:0000009
PPTO:0000232	days to heading	plant growth and development trait	PPTO:0000006
PPTO:0000233	hull color	plant morphology trait	PPTO:0000009
PPTO:0000234	100-dehulled grain weight	plant morphology trait	PPTO:0000009
PPTO:0000235	jasmonoyl-alanine content	biochemical trait	PPTO:0000004
PPTO:0000236	jasmonoyl-isoleucine content	biochemical trait	PPTO:0000004
PPTO:0000237	jasmonoyl-phenylalanine content	biochemical trait	PPTO:0000004
PPTO:0000238	jasmonoyl-valine content	biochemical trait	PPTO:0000004
PPTO:0000239	leaf angle	plant morphology trait	PPTO:0000009
PPTO:0000240	leaf area trait	plant morphology trait	PPTO:0000009
PPTO:0000241	leaf lamina width	plant morphology trait	PPTO:0000009
PPTO:0000242	root length	plant morphology trait	PPTO:0000009
PPTO:0000243	mesocotyl length	plant morphology trait	PPTO:0000009
PPTO:0000244	naked seed length	plant morphology trait	PPTO:0000009
PPTO:0000245	naked seed width	plant morphology trait	PPTO:0000009
PPTO:0000246	naked seed width to length ratio	plant morphology trait	PPTO:0000009
PPTO:0000247	nitrogen balance index	plant growth and development trait	PPTO:0000006
PPTO:0000248	non photochemical quenching	biological process trait	PPTO:0000008
PPTO:0000249	number of root tips	plant morphology trait	PPTO:0000009
PPTO:0000250	number of roots reaching 30 cm depth	plant morphology trait	PPTO:0000009
PPTO:0000251	number of tillers per linear meter	plant morphology trait	PPTO:0000009
PPTO:0000252	panicle length	plant morphology trait	PPTO:0000009
PPTO:0000253	panicle number	biological process trait	PPTO:0000008
PPTO:0000254	panicular node height	plant morphology trait	PPTO:0000009
PPTO:0000255	pericarp color	plant morphology trait	PPTO:0000009
PPTO:0000256	plant biomass	plant morphology trait	PPTO:0000009
PPTO:0000257	protein content	biochemical trait	PPTO:0000004
PPTO:0000258	sodium to potassium content ratio	biochemical trait	PPTO:0000004
PPTO:0000259	relative shoot length	plant morphology trait	PPTO:0000009
PPTO:0000260	root biomass	plant morphology trait	PPTO:0000009
PPTO:0000261	root cone angle	plant morphology trait	PPTO:0000009
PPTO:0000262	root dry mass below 30cm	plant morphology trait	PPTO:0000009
PPTO:0000263	root dry mass in the 00-20cm layer	plant morphology trait	PPTO:0000009
PPTO:0000264	root dry mass in the 20-30cm layer	plant morphology trait	PPTO:0000009
PPTO:0000265	root dry weight	plant morphology trait	PPTO:0000009
PPTO:0000266	root surface area	plant morphology trait	PPTO:0000009
PPTO:0000267	root to shoot ratio	plant morphology trait	PPTO:0000009
PPTO:0000268	root volume	plant morphology trait	PPTO:0000009
PPTO:0000269	score for salt toxicity symptoms	abiotic stress trait	PPTO:0000013
PPTO:0000270	percent germination	plant vigor trait	PPTO:0000011
PPTO:0000271	seed length	plant morphology trait	PPTO:0000009
PPTO:0000273	seed width	plant morphology trait	PPTO:0000009
PPTO:0000274	seed width to length ratio	plant morphology trait	PPTO:0000009
PPTO:0000275	seedling length	plant morphology trait	PPTO:0000009
PPTO:0000276	seedling survival days	abiotic stress trait	PPTO:0000013
PPTO:0000277	shoot biomass	plant morphology trait	PPTO:0000009
PPTO:0000278	shoot dry weight	plant morphology trait	PPTO:0000009
PPTO:0000279	potassium concentration	biochemical trait	PPTO:0000004
PPTO:0000280	shoot length	plant morphology trait	PPTO:0000009
PPTO:0000281	shoot system manganese content	biochemical trait	PPTO:0000004
PPTO:0000282	sodium concentration	biochemical trait	PPTO:0000004
PPTO:0000283	single stigma exsertion	plant morphology trait	PPTO:0000009
PPTO:0000284	spikelet length	plant morphology trait	PPTO:0000009
PPTO:0000285	spikelet number	plant morphology trait	PPTO:0000009
PPTO:0000286	spikelet thickness	plant morphology trait	PPTO:0000009
PPTO:0000287	spikelet width	plant morphology trait	PPTO:0000009
PPTO:0000288	stigma length	plant morphology trait	PPTO:0000009
PPTO:0000289	style angle	plant morphology trait	PPTO:0000009
PPTO:0000290	style length	plant morphology trait	PPTO:0000009
PPTO:0000291	chlorophyll a content	biochemical trait	PPTO:0000004
PPTO:0000292	chlorophyll b content	biochemical trait	PPTO:0000004
PPTO:0000293	drought tolerance	abiotic stress trait	PPTO:0000013
PPTO:0000294	large vascular bundle number	plant morphology trait	PPTO:0000009
PPTO:0000295	small vascular bundle number	plant morphology trait	PPTO:0000009
PPTO:0000296	the phloem area of large vascular bundle	plant morphology trait	PPTO:0000009
PPTO:0000297	the phloem area of small vascular bundle	plant morphology trait	PPTO:0000009
PPTO:0000298	chlorophyll ratio	biochemical trait	PPTO:0000004
PPTO:0000299	seed dormancy	plant growth and development trait	PPTO:0000006
PPTO:0000300	the soil-plant analysis development value	biochemical trait	PPTO:0000004
PPTO:0000301	the total area of large vascular bundle	plant morphology trait	PPTO:0000009
PPTO:0000302	the total area of small vascular bundle	plant morphology trait	PPTO:0000009
PPTO:0000303	the xylem area of large vascular bundle	plant morphology trait	PPTO:0000009
PPTO:0000304	the xylem area of small vascular bundle	plant morphology trait	PPTO:0000009
PPTO:0000305	1000-grain weight	plant morphology trait	PPTO:0000009
PPTO:0000306	tiller number	plant morphology trait	PPTO:0000009
PPTO:0000307	total stigma exsertion	plant morphology trait	PPTO:0000009
PPTO:0000308	volume of thick roots	plant morphology trait	PPTO:0000009
PPTO:0000309	yield of 50 panicles	yield trait	PPTO:0000010
PPTO:0000310	petal color	plant morphology trait	PPTO:0000009
PPTO:0000311	stigma color	plant morphology trait	PPTO:0000009
PPTO:0000312	calyx color	plant morphology trait	PPTO:0000009
PPTO:0000313	bud color	plant morphology trait	PPTO:0000009
PPTO:0000314	wood color	plant morphology trait	PPTO:0000009
PPTO:0000315	staminal filament color	plant morphology trait	PPTO:0000009
PPTO:0000316	petal number	plant morphology trait	PPTO:0000009
PPTO:0000317	pistil character	plant morphology trait	PPTO:0000009
PPTO:0000318	bud aperture	plant morphology trait	PPTO:0000009
PPTO:0000319	above ear plant height	plant morphology trait	PPTO:0000009
PPTO:0000320	alpha to gamma tocopherol ratio	biochemical trait	PPTO:0000004
PPTO:0000321	alpha tocopherol content	biochemical trait	PPTO:0000004
PPTO:0000322	anther exsertion	sterility or fertility trait	PPTO:0000012
PPTO:0000323	arsenic accumulation	biochemical trait	PPTO:0000004
PPTO:0000324	average diameter	plant morphology trait	PPTO:0000009
PPTO:0000325	beta-carotene content	biochemical trait	PPTO:0000004
PPTO:0000326	beta-carotene to alpha carotene ratio	biochemical trait	PPTO:0000004
PPTO:0000327	beta-carotene to beta-cryptoxanthin ratio	biochemical trait	PPTO:0000004
PPTO:0000328	beta-carotene to zeaxanthin ratio	biochemical trait	PPTO:0000004
PPTO:0000329	beta-cryptoxanthin content	biochemical trait	PPTO:0000004
PPTO:0000330	brassinosteroids inhibitor response	abiotic stress trait	PPTO:0000013
PPTO:0000331	cadmium accumulation	biochemical trait	PPTO:0000004
PPTO:0000332	carotenoid content	biochemical trait	PPTO:0000004
PPTO:0000333	cob color	plant morphology trait	PPTO:0000009
PPTO:0000334	cob diameter	plant morphology trait	PPTO:0000009
PPTO:0000335	cob length	plant morphology trait	PPTO:0000009
PPTO:0000336	cob weight	plant morphology trait	PPTO:0000009
PPTO:0000337	corn earworm resistance	biotic stress trait	PPTO:0000007
PPTO:0000338	crown root fresh weight	plant morphology trait	PPTO:0000009
PPTO:0000339	crown root number	plant morphology trait	PPTO:0000009
PPTO:0000340	days to germinate	plant growth and development trait	PPTO:0000006
PPTO:0000341	days to pollen shedding	plant growth and development trait	PPTO:0000006
PPTO:0000342	days to silk	plant growth and development trait	PPTO:0000006
PPTO:0000343	days to tassel	plant growth and development trait	PPTO:0000006
PPTO:0000344	drought susceptibility index	abiotic stress trait	PPTO:0000013
PPTO:0000345	ear diameter	plant morphology trait	PPTO:0000009
PPTO:0000346	ear infructescence position ratio	plant morphology trait	PPTO:0000009
PPTO:0000347	ear rot resistance	biotic stress trait	PPTO:0000007
PPTO:0000348	flowering period water use	biological process trait	PPTO:0000008
PPTO:0000349	fusarium verticillioides seed rot resistance	biotic stress trait	PPTO:0000007
PPTO:0000350	gamma tocopherol content	biochemical trait	PPTO:0000004
PPTO:0000351	gibberellin inhibitor response	abiotic stress trait	PPTO:0000013
PPTO:0000352	grain number	plant morphology trait	PPTO:0000009
PPTO:0000353	grain oil content	plant quality trait	PPTO:0000005
PPTO:0000354	grain volume	plant morphology trait	PPTO:0000009
PPTO:0000355	grain yield trait	yield trait	PPTO:0000010
PPTO:0000356	haploid male fertility	sterility or fertility trait	PPTO:0000012
PPTO:0000357	husk length	plant morphology trait	PPTO:0000009
PPTO:0000358	iron concentration	biochemical trait	PPTO:0000004
PPTO:0000359	kernel resistance to borer attack	biotic stress trait	PPTO:0000007
PPTO:0000360	kernel row number per ear	yield trait	PPTO:0000010
PPTO:0000361	kernel weight per ear	plant morphology trait	PPTO:0000009
PPTO:0000362	lateral root length	plant morphology trait	PPTO:0000009
PPTO:0000363	lead content trait	biochemical trait	PPTO:0000004
PPTO:0000364	leaf injury	abiotic stress trait	PPTO:0000013
PPTO:0000365	leaf length	plant morphology trait	PPTO:0000009
PPTO:0000366	leaf necrosis	plant morphology trait	PPTO:0000009
PPTO:0000367	leaf number	plant morphology trait	PPTO:0000009
PPTO:0000368	leaf orientation value	plant morphology trait	PPTO:0000009
PPTO:0000369	leaf roll degree	plant morphology trait	PPTO:0000009
PPTO:0000370	leaf width	plant morphology trait	PPTO:0000009
PPTO:0000371	lesion severity	abiotic stress trait	PPTO:0000013
PPTO:0000372	lutein content	biochemical trait	PPTO:0000004
PPTO:0000373	lutein to zeaxanthin ratio	biochemical trait	PPTO:0000004
PPTO:0000374	fusarium ear rot severity trait	biotic stress trait	PPTO:0000007
PPTO:0000376	grain upper surface shape trait	plant morphology trait	PPTO:0000009
PPTO:0000377	gray leaf spot severity trait	biotic stress trait	PPTO:0000007
PPTO:0000378	head smut severity trait	biotic stress trait	PPTO:0000007
PPTO:0000379	lethal necrosis severity trait	biotic stress trait	PPTO:0000007
PPTO:0000380	rough dwarf disease resistance	biotic stress trait	PPTO:0000007
PPTO:0000381	seedling vigor trait	plant vigor trait	PPTO:0000011
PPTO:0000382	streak virus incidence	biotic stress trait	PPTO:0000007
PPTO:0000383	tar spot complex resistance	biotic stress trait	PPTO:0000007
PPTO:0000384	maximum number of roots	plant morphology trait	PPTO:0000009
PPTO:0000385	mercury accumulation	biochemical trait	PPTO:0000004
PPTO:0000386	network area	plant morphology trait	PPTO:0000009
PPTO:0000387	nodal root number	plant morphology trait	PPTO:0000009
PPTO:0000388	node count	plant morphology trait	PPTO:0000009
PPTO:0000389	northern corn leaf blight	biotic stress trait	PPTO:0000007
PPTO:0000390	number of root forks	plant morphology trait	PPTO:0000009
PPTO:0000391	number of seminal root	plant morphology trait	PPTO:0000009
PPTO:0000392	photoperiod-sensitive flowering time trait	plant growth and development trait	PPTO:0000006
PPTO:0000393	plant fresh weight	plant morphology trait	PPTO:0000009
PPTO:0000394	pollen fertility	sterility or fertility trait	PPTO:0000012
PPTO:0000395	pollen shedding	sterility or fertility trait	PPTO:0000012
PPTO:0000396	primary root fresh weight	plant morphology trait	PPTO:0000009
PPTO:0000397	provitamin a content	biochemical trait	PPTO:0000004
PPTO:0000398	quantum efficiency of photosystem ii	biological process trait	PPTO:0000008
PPTO:0000399	rank number per ear	yield trait	PPTO:0000010
PPTO:0000400	relative anthesis silking interval	abiotic stress trait	PPTO:0000013
PPTO:0000401	relative days to 50% root germination	plant vigor trait	PPTO:0000011
PPTO:0000402	relative days to anthesis	abiotic stress trait	PPTO:0000013
PPTO:0000403	relative days to silk	abiotic stress trait	PPTO:0000013
PPTO:0000404	relative days to tassel	abiotic stress trait	PPTO:0000013
PPTO:0000405	relative germination index	plant vigor trait	PPTO:0000011
PPTO:0000406	relative grain number	abiotic stress trait	PPTO:0000013
PPTO:0000407	relative grain number per row	abiotic stress trait	PPTO:0000013
PPTO:0000408	relative grain weight	abiotic stress trait	PPTO:0000013
PPTO:0000409	relative hundred grain weight	abiotic stress trait	PPTO:0000013
PPTO:0000410	relative kernel row number per ear	abiotic stress trait	PPTO:0000013
PPTO:0000411	relative leaf number	abiotic stress trait	PPTO:0000013
PPTO:0000412	relative mesocotyl length	plant morphology trait	PPTO:0000009
PPTO:0000413	relative plant height	abiotic stress trait	PPTO:0000013
PPTO:0000414	relative root dry weight	abiotic stress trait	PPTO:0000013
PPTO:0000415	relative root fresh weight	abiotic stress trait	PPTO:0000013
PPTO:0000416	relative root length	plant morphology trait	PPTO:0000009
PPTO:0000417	relative root number	plant morphology trait	PPTO:0000009
PPTO:0000418	relative shoot dry weight	abiotic stress trait	PPTO:0000013
PPTO:0000419	relative total dry weight	abiotic stress trait	PPTO:0000013
PPTO:0000420	relative total fresh weight	plant morphology trait	PPTO:0000009
PPTO:0000421	relative total length	plant morphology trait	PPTO:0000009
PPTO:0000422	relative water content	plant morphology trait	PPTO:0000009
PPTO:0000423	relative yield	yield trait	PPTO:0000010
PPTO:0000424	relatvie ear length	abiotic stress trait	PPTO:0000013
PPTO:0000425	relatvie shoot fresh weight	abiotic stress trait	PPTO:0000013
PPTO:0000426	rind penetrometer resistance	plant vigor trait	PPTO:0000011
PPTO:0000427	root bushiness	plant morphology trait	PPTO:0000009
PPTO:0000428	root diameter	plant morphology trait	PPTO:0000009
PPTO:0000429	root fresh weight	plant morphology trait	PPTO:0000009
PPTO:0000430	root median	plant morphology trait	PPTO:0000009
PPTO:0000431	root perimeter	plant morphology trait	PPTO:0000009
PPTO:0000432	root weight	plant morphology trait	PPTO:0000009
PPTO:0000433	seminal root fresh weight	plant morphology trait	PPTO:0000009
PPTO:0000434	shank length	plant morphology trait	PPTO:0000009
PPTO:0000435	shoot apical meristem volume	plant growth and development trait	PPTO:0000006
PPTO:0000436	shoot fresh weight	plant morphology trait	PPTO:0000009
PPTO:0000437	shoot water content	plant morphology trait	PPTO:0000009
PPTO:0000438	silking photoperiod response	plant growth and development trait	PPTO:0000006
PPTO:0000439	downy mildew resistance	biotic stress trait	PPTO:0000007
PPTO:0000440	southern leaf blight resistance	biotic stress trait	PPTO:0000007
PPTO:0000441	stalk bending strength	plant vigor trait	PPTO:0000011
PPTO:0000442	standard root length	plant morphology trait	PPTO:0000009
PPTO:0000443	stem damage	biotic stress trait	PPTO:0000007
PPTO:0000444	stem diameter	plant morphology trait	PPTO:0000009
PPTO:0000445	stomatal conductance	biological process trait	PPTO:0000008
PPTO:0000446	style color	plant morphology trait	PPTO:0000009
PPTO:0000447	surface area	plant morphology trait	PPTO:0000009
PPTO:0000448	tassel branch number	plant morphology trait	PPTO:0000009
PPTO:0000449	tassel branch zone length	plant morphology trait	PPTO:0000009
PPTO:0000450	tassel length	plant morphology trait	PPTO:0000009
PPTO:0000451	tassel spike length	plant morphology trait	PPTO:0000009
PPTO:0000452	total biomass yield	plant morphology trait	PPTO:0000009
PPTO:0000453	total plant biomass	plant morphology trait	PPTO:0000009
PPTO:0000454	total root length	plant morphology trait	PPTO:0000009
PPTO:0000455	total root number	plant morphology trait	PPTO:0000009
PPTO:0000456	total soluble sugar content	biochemical trait	PPTO:0000004
PPTO:0000457	total tocopherol content	biochemical trait	PPTO:0000004
PPTO:0000458	transpiration efficiency	biological process trait	PPTO:0000008
PPTO:0000459	transpiration rate	biological process trait	PPTO:0000008
PPTO:0000460	tunnel length	biotic stress trait	PPTO:0000007
PPTO:0000461	water content of shoots and leaves	plant morphology trait	PPTO:0000009
PPTO:0000462	water use efficiency	biological process trait	PPTO:0000008
PPTO:0000463	zeaxanthin content	biochemical trait	PPTO:0000004
PPTO:0000464	zinc concentration	biochemical trait	PPTO:0000004
PPTO:0000465	kernel depth	plant morphology trait	PPTO:0000009
PPTO:0000466	relative fresh root weight	plant morphology trait	PPTO:0000009
PPTO:0000467	total kernel volume	yield trait	PPTO:0000010
PPTO:0000468	upper leaf angle	plant morphology trait	PPTO:0000009
PPTO:0000469	anthracnose resistance	biotic stress trait	PPTO:0000007
PPTO:0000470	anthracnose scores	biotic stress trait	PPTO:0000007
PPTO:0000471	base-flag length	plant morphology trait	PPTO:0000009
PPTO:0000472	crude protein content	plant quality trait	PPTO:0000005
PPTO:0000473	dry stalk weight	plant morphology trait	PPTO:0000009
PPTO:0000474	flag-rachis length	plant morphology trait	PPTO:0000009
PPTO:0000475	leaf blotching	abiotic stress trait	PPTO:0000013
PPTO:0000476	leaf firing	abiotic stress trait	PPTO:0000013
PPTO:0000477	major lesion length	biotic stress trait	PPTO:0000007
PPTO:0000478	relative major lesion length	biotic stress trait	PPTO:0000007
PPTO:0000479	relative total lesion length	biotic stress trait	PPTO:0000007
PPTO:0000480	stem circumference	plant morphology trait	PPTO:0000009
PPTO:0000481	total lesion length	biotic stress trait	PPTO:0000007
PPTO:0000482	whorls number	plant morphology trait	PPTO:0000009
PPTO:0000483	anthocyanin content	biochemical trait	PPTO:0000004
PPTO:0000484	panicle inflorescence exsertion	plant morphology trait	PPTO:0000009
PPTO:0000485	inflorescence length	plant morphology trait	PPTO:0000009
PPTO:0000486	grain number per plant	yield trait	PPTO:0000010
PPTO:0000487	grain yield per panicle	yield trait	PPTO:0000010
PPTO:0000488	rhizome internode number	plant morphology trait	PPTO:0000009
PPTO:0000489	total fat content	biochemical trait	PPTO:0000004
PPTO:0000490	inflorescence primary branch length	plant morphology trait	PPTO:0000009
PPTO:0000491	inflorescence weight	plant morphology trait	PPTO:0000009
PPTO:0000492	inflorescence width	plant morphology trait	PPTO:0000009
PPTO:0000493	awn presence	plant morphology trait	PPTO:0000009
PPTO:0000494	average projected seed area	plant quality trait	PPTO:0000005
PPTO:0000495	begin of flowering	plant growth and development trait	PPTO:0000006
